CIF,Gen,ID,Origin,Composition,Enthalpy,Volume,Density,Fitness,KPOINTS,SYMM,Q_entr,A_order,S_order,N_atoms,Energy/N_atoms
"['data_findsym-STRUC-228', '# This file was generated by FINDSYM    ', '# Harold T. Stokes, Branton J. Campbell, Dorian M. Hatch', '# Brigham Young University, Provo, Utah, USA', '                                        ', 'data_findsym-output                     ', '                                        ', ""_symmetry_space_group_name_H-M 'P 1'    "", '_symmetry_Int_Tables_number 1           ', '                                        ', '_cell_length_a       2.71600            ', '_cell_length_b      14.94000            ', '_cell_length_c       5.15600            ', '_cell_angle_alpha   80.97600            ', '_cell_angle_beta    89.76900            ', '_cell_angle_gamma   87.68600            ', '                                        ', 'loop_                                   ', '_space_group_symop_operation_xyz        ', 'x,y,z                                   ', '                                        ', 'loop_                                   ', '_atom_site_label                        ', '_atom_site_type_symbol                  ', '_atom_site_fract_x                      ', '_atom_site_fract_y                      ', '_atom_site_fract_z                      ', '_atom_site_occupancy                    ', '  Mg   Mg   0.4243  -0.3411   0.3220   1.0000', '  Mg   Mg  -0.4472   0.1493   0.3401   1.0000', '  Mg   Mg   0.4194  -0.3307  -0.1787   1.0000', '  Mg   Mg  -0.4614  -0.0152  -0.2889   1.0000', '  Al   Al  -0.0357   0.4938  -0.3299   1.0000', '  Al   Al   0.4674   0.4917   0.1708   1.0000', '  Al   Al   0.0297   0.1431  -0.1638   1.0000', '  Al   Al  -0.1190  -0.1839   0.4986   1.0000', '  Al   Al  -0.1103  -0.1793   0.0014   1.0000', '  Al   Al   0.0102   0.3141   0.0858   1.0000', '  Al   Al   0.4979   0.3188  -0.4123   1.0000', '  Al   Al   0.2183  -0.0166   0.2150   1.0000', '   O    O  -0.0483  -0.4444   0.3024   1.0000', '   O    O   0.3972  -0.1774  -0.2611   1.0000', '   O    O   0.3821  -0.1829   0.2541   1.0000', '   O    O  -0.4540   0.0661   0.0265   1.0000', '   O    O   0.4538  -0.4521  -0.1936   1.0000', '   O    O  -0.0056   0.3260  -0.2381   1.0000', '   O    O  -0.4906   0.3113   0.2754   1.0000', '   O    O   0.0705   0.0703  -0.4588   1.0000', '   O    O   0.4747   0.4396  -0.4812   1.0000', '   O    O  -0.0188   0.4347   0.0446   1.0000', '   O    O  -0.2513  -0.0622   0.4019   1.0000', '   O    O   0.0149  -0.0661  -0.0429   1.0000', '   O    O  -0.0894  -0.2926   0.0419   1.0000', '   O    O  -0.0851  -0.2993  -0.4467   1.0000', '   O    O   0.0372   0.1981   0.1031   1.0000', '   O    O  -0.4764   0.1983  -0.3320   1.0000']",6,228,Heredity,[ 4  8 16],-648.384,206.486,4.576,-648.384,[1 1 1],1,0.255,3.058,1.979,28,-23.15657142857143
"['data_findsym-STRUC-229', '# This file was generated by FINDSYM    ', '# Harold T. Stokes, Branton J. Campbell, Dorian M. Hatch', '# Brigham Young University, Provo, Utah, USA', '                                        ', 'data_findsym-output                     ', '                                        ', ""_symmetry_space_group_name_H-M 'P 1'    "", '_symmetry_Int_Tables_number 1           ', '                                        ', '_cell_length_a      10.52100            ', '_cell_length_b       7.41500            ', '_cell_length_c       2.70100            ', '_cell_angle_alpha   92.39800            ', '_cell_angle_beta    95.17200            ', '_cell_angle_gamma   99.40200            ', '                                        ', 'loop_                                   ', '_space_group_symop_operation_xyz        ', 'x,y,z                                   ', '                                        ', 'loop_                                   ', '_atom_site_label                        ', '_atom_site_type_symbol                  ', '_atom_site_fract_x                      ', '_atom_site_fract_y                      ', '_atom_site_fract_z                      ', '_atom_site_occupancy                    ', '  Mg   Mg   0.2257   0.3108  -0.2028   1.0000', '  Mg   Mg  -0.2781   0.2903  -0.2908   1.0000', '  Mg   Mg   0.0494  -0.0517   0.2015   1.0000', '  Mg   Mg  -0.3569  -0.3698   0.4445   1.0000', '  Al   Al   0.4778   0.3272  -0.2117   1.0000', '  Al   Al   0.2982  -0.0047   0.3011   1.0000', '  Al   Al   0.3826  -0.3817   0.3311   1.0000', '  Al   Al  -0.0131   0.2663   0.1986   1.0000', '  Al   Al  -0.4648  -0.0519  -0.0394   1.0000', '  Al   Al  -0.2023  -0.0185  -0.4099   1.0000', '  Al   Al  -0.1247  -0.3450   0.0922   1.0000', '  Al   Al   0.1248  -0.3589  -0.2885   1.0000', '   O    O   0.0408  -0.3327   0.1862   1.0000', '   O    O   0.2702  -0.4173  -0.2094   1.0000', '   O    O  -0.3725   0.0303  -0.4766   1.0000', '   O    O   0.4102   0.1036  -0.1494   1.0000', '   O    O   0.1868   0.1465   0.2697   1.0000', '   O    O  -0.4928  -0.3866  -0.1328   1.0000', '   O    O   0.3765   0.3785   0.3054   1.0000', '   O    O  -0.4074   0.3557   0.2698   1.0000', '   O    O   0.0546   0.4041  -0.2824   1.0000', '   O    O  -0.0215   0.1099  -0.3065   1.0000', '   O    O  -0.1899  -0.4804  -0.4421   1.0000', '   O    O  -0.1823   0.1708   0.1532   1.0000', '   O    O  -0.0954  -0.1842  -0.3784   1.0000', '   O    O  -0.2771  -0.1879   0.0329   1.0000', '   O    O   0.4261  -0.1535   0.3612   1.0000', '   O    O   0.2043  -0.1269  -0.2470   1.0000']",6,229,Heredity,[ 4  8 16],-645.911,206.722,4.571,-645.911,[1 1 1],1,0.232,2.689,1.906,28,-23.06825
"['data_findsym-STRUC-230', '# This file was generated by FINDSYM    ', '# Harold T. Stokes, Branton J. Campbell, Dorian M. Hatch', '# Brigham Young University, Provo, Utah, USA', '                                        ', 'data_findsym-output                     ', '                                        ', ""_symmetry_space_group_name_H-M 'P 1 m 1'"", '_symmetry_Int_Tables_number 6           ', '                                        ', '_cell_length_a       9.31700            ', '_cell_length_b       2.70800            ', '_cell_length_c       8.00500            ', '_cell_angle_alpha   90.00000            ', '_cell_angle_beta    91.86700            ', '_cell_angle_gamma   90.00000            ', '                                        ', 'loop_                                   ', '_space_group_symop_operation_xyz        ', 'x,y,z                                   ', 'x,-y,z                                  ', '                                        ', 'loop_                                   ', '_atom_site_label                        ', '_atom_site_type_symbol                  ', '_atom_site_fract_x                      ', '_atom_site_fract_y                      ', '_atom_site_fract_z                      ', '_atom_site_occupancy                    ', '  Mg   Mg   0.3522   0.0000   0.3910   1.0000', '  Mg   Mg   0.0721   0.5000  -0.1283   1.0000', '  Mg   Mg  -0.4107   0.5000  -0.4314   1.0000', '  Mg   Mg   0.1083   0.5000  -0.4576   1.0000', '  Al   Al  -0.1451   0.5000   0.4036   1.0000', '  Al   Al  -0.1824   0.5000   0.0278   1.0000', '  Al   Al   0.3126   0.5000   0.0803   1.0000', '  Al   Al  -0.4381   0.5000  -0.1188   1.0000', '  Al   Al   0.3277   0.0000  -0.2717   1.0000', '  Al   Al  -0.1679   0.0000  -0.2893   1.0000', '  Al   Al  -0.4025   0.0000   0.2392   1.0000', '  Al   Al   0.0754   0.0000   0.2086   1.0000', '   O    O  -0.4847   0.5000   0.3557   1.0000', '   O    O  -0.2751   0.5000  -0.2144   1.0000', '   O    O  -0.2650   0.5000   0.2278   1.0000', '   O    O   0.3241   0.5000  -0.4283   1.0000', '   O    O  -0.0304   0.5000   0.1542   1.0000', '   O    O  -0.0802   0.5000  -0.3685   1.0000', '   O    O   0.3699   0.5000  -0.1221   1.0000', '   O    O  -0.3569   0.0000   0.0104   1.0000', '   O    O   0.1814   0.0000   0.0327   1.0000', '   O    O  -0.0958   0.0000  -0.0800   1.0000', '   O    O   0.4206   0.0000   0.1380   1.0000', '   O    O  -0.4817   0.0000  -0.2777   1.0000', '   O    O   0.1487   0.0000  -0.2812   1.0000', '   O    O  -0.2639   0.0000   0.4882   1.0000', '   O    O  -0.0123   0.0000   0.3968   1.0000', '   O    O   0.2083   0.5000   0.2860   1.0000']",6,230,Heredity,[ 4  8 16],-651.195,201.894,4.68,-651.195,[1 1 1],6,0.229,3.11,2.201,28,-23.256964285714286
"['data_findsym-STRUC-231', '# This file was generated by FINDSYM    ', '# Harold T. Stokes, Branton J. Campbell, Dorian M. Hatch', '# Brigham Young University, Provo, Utah, USA', '                                        ', 'data_findsym-output                     ', '                                        ', ""_symmetry_space_group_name_H-M 'P 1'    "", '_symmetry_Int_Tables_number 1           ', '                                        ', '_cell_length_a       5.31500            ', '_cell_length_b       5.02100            ', '_cell_length_c       7.78100            ', '_cell_angle_alpha   91.63100            ', '_cell_angle_beta    90.99400            ', '_cell_angle_gamma   92.62300            ', '                                        ', 'loop_                                   ', '_space_group_symop_operation_xyz        ', 'x,y,z                                   ', '                                        ', 'loop_                                   ', '_atom_site_label                        ', '_atom_site_type_symbol                  ', '_atom_site_fract_x                      ', '_atom_site_fract_y                      ', '_atom_site_fract_z                      ', '_atom_site_occupancy                    ', '  Mg   Mg   0.2039  -0.4860   0.0321   1.0000', '  Mg   Mg   0.2212   0.4844  -0.2970   1.0000', '  Mg   Mg  -0.2801   0.3299   0.1769   1.0000', '  Mg   Mg  -0.2149  -0.2598  -0.2273   1.0000', '  Al   Al   0.2884   0.2377   0.3206   1.0000', '  Al   Al   0.2505  -0.0148  -0.3161   1.0000', '  Al   Al   0.1076   0.0086   0.0220   1.0000', '  Al   Al  -0.3759   0.2709  -0.1555   1.0000', '  Al   Al  -0.2057   0.2193  -0.4723   1.0000', '  Al   Al  -0.0082  -0.2657   0.3798   1.0000', '  Al   Al  -0.3688  -0.1802   0.1094   1.0000', '  Al   Al   0.4974  -0.2785   0.4371   1.0000', '   O    O   0.2760   0.2165  -0.1315   1.0000', '   O    O   0.4180   0.0575   0.1327   1.0000', '   O    O   0.1726   0.4653   0.4620   1.0000', '   O    O  -0.2598   0.4996   0.4159   1.0000', '   O    O   0.0452   0.2502   0.1727   1.0000', '   O    O   0.1532  -0.2284  -0.1347   1.0000', '   O    O  -0.1193   0.3782  -0.2739   1.0000', '   O    O  -0.2302   0.0376  -0.0488   1.0000', '   O    O   0.4330  -0.4334   0.2295   1.0000', '   O    O  -0.0436  -0.2596   0.1560   1.0000', '   O    O   0.4958   0.2138  -0.3713   1.0000', '   O    O  -0.0484  -0.0632  -0.3976   1.0000', '   O    O  -0.2879  -0.0179   0.3542   1.0000', '   O    O  -0.3882  -0.4496  -0.0365   1.0000', '   O    O   0.4756  -0.2505  -0.3471   1.0000', '   O    O   0.2530  -0.0556   0.4154   1.0000']",6,231,Heredity,[ 4  8 16],-644.253,207.32,4.558,-644.253,[1 1 1],1,0.228,2.562,1.845,28,-23.009035714285716
"['data_findsym-STRUC-232', '# This file was generated by FINDSYM    ', '# Harold T. Stokes, Branton J. Campbell, Dorian M. Hatch', '# Brigham Young University, Provo, Utah, USA', '                                        ', 'data_findsym-output                     ', '                                        ', ""_symmetry_space_group_name_H-M 'P 1'    "", '_symmetry_Int_Tables_number 1           ', '                                        ', '_cell_length_a       4.56600            ', '_cell_length_b       8.74600            ', '_cell_length_c       5.26600            ', '_cell_angle_alpha   89.75500            ', '_cell_angle_beta   106.80800            ', '_cell_angle_gamma   90.19700            ', '                                        ', 'loop_                                   ', '_space_group_symop_operation_xyz        ', 'x,y,z                                   ', '                                        ', 'loop_                                   ', '_atom_site_label                        ', '_atom_site_type_symbol                  ', '_atom_site_fract_x                      ', '_atom_site_fract_y                      ', '_atom_site_fract_z                      ', '_atom_site_occupancy                    ', '  Mg   Mg  -0.2703   0.1745  -0.0238   1.0000', '  Mg   Mg   0.2731  -0.3240   0.3637   1.0000', '  Mg   Mg  -0.2625   0.1668   0.4789   1.0000', '  Mg   Mg   0.2358   0.0054  -0.3928   1.0000', '  Al   Al   0.2364   0.0002   0.1054   1.0000', '  Al   Al   0.2646  -0.3167  -0.1359   1.0000', '  Al   Al  -0.2449   0.4979  -0.2706   1.0000', '  Al   Al  -0.2560  -0.1440  -0.2651   1.0000', '  Al   Al  -0.2288  -0.1528   0.2434   1.0000', '  Al   Al   0.2338   0.3482  -0.3988   1.0000', '  Al   Al   0.2415   0.3463   0.1022   1.0000', '  Al   Al  -0.2327  -0.4984   0.2309   1.0000', '   O    O   0.0428  -0.1948   0.0499   1.0000', '   O    O   0.4188   0.1897  -0.3545   1.0000', '   O    O  -0.0335   0.3176  -0.2159   1.0000', '   O    O   0.0463  -0.4604   0.0399   1.0000', '   O    O  -0.4985   0.4289  -0.0799   1.0000', '   O    O   0.4930  -0.0912  -0.0681   1.0000', '   O    O  -0.4301  -0.3271  -0.2940   1.0000', '   O    O  -0.4169  -0.3289   0.1764   1.0000', '   O    O   0.4009   0.1739   0.1442   1.0000', '   O    O  -0.0613   0.0314  -0.2049   1.0000', '   O    O  -0.0376   0.3210   0.2816   1.0000', '   O    O  -0.4960  -0.0858   0.4126   1.0000', '   O    O   0.4985   0.4324   0.4142   1.0000', '   O    O   0.0247  -0.2024  -0.4307   1.0000', '   O    O   0.0391  -0.4634  -0.4417   1.0000', '   O    O  -0.0535   0.0290   0.2696   1.0000']",6,232,Heredity,[ 4  8 16],-652.22,201.291,4.694,-652.22,[1 1 1],1,0.171,3.106,2.505,28,-23.29357142857143
"['data_findsym-STRUC-233', '# This file was generated by FINDSYM    ', '# Harold T. Stokes, Branton J. Campbell, Dorian M. Hatch', '# Brigham Young University, Provo, Utah, USA', '                                        ', 'data_findsym-output                     ', '                                        ', ""_symmetry_space_group_name_H-M 'P 1'    "", '_symmetry_Int_Tables_number 1           ', '                                        ', '_cell_length_a       6.77300            ', '_cell_length_b       4.63000            ', '_cell_length_c       6.90400            ', '_cell_angle_alpha   90.12400            ', '_cell_angle_beta   105.08300            ', '_cell_angle_gamma   90.72900            ', '                                        ', 'loop_                                   ', '_space_group_symop_operation_xyz        ', 'x,y,z                                   ', '                                        ', 'loop_                                   ', '_atom_site_label                        ', '_atom_site_type_symbol                  ', '_atom_site_fract_x                      ', '_atom_site_fract_y                      ', '_atom_site_fract_z                      ', '_atom_site_occupancy                    ', '  Mg   Mg   0.4086   0.4633  -0.4585   1.0000', '  Mg   Mg   0.0542   0.4942  -0.3438   1.0000', '  Mg   Mg  -0.2480  -0.0225   0.1108   1.0000', '  Mg   Mg   0.0462  -0.0009   0.4225   1.0000', '  Al   Al  -0.2045   0.4727  -0.0900   1.0000', '  Al   Al   0.3541   0.4672  -0.0269   1.0000', '  Al   Al  -0.2658  -0.0228  -0.4021   1.0000', '  Al   Al   0.4469  -0.0347  -0.2013   1.0000', '  Al   Al   0.0570  -0.0174  -0.1036   1.0000', '  Al   Al  -0.3287   0.4843   0.2893   1.0000', '  Al   Al   0.1121   0.4928   0.2218   1.0000', '  Al   Al   0.4202  -0.0206   0.2984   1.0000', '   O    O  -0.3795   0.2757   0.4573   1.0000', '   O    O  -0.4049  -0.3525  -0.0326   1.0000', '   O    O  -0.1583  -0.3231  -0.2651   1.0000', '   O    O   0.2456  -0.2159  -0.1485   1.0000', '   O    O  -0.0271   0.1128  -0.3522   1.0000', '   O    O   0.4821  -0.1436  -0.4285   1.0000', '   O    O   0.0891   0.3380  -0.0257   1.0000', '   O    O   0.3368   0.2893  -0.2477   1.0000', '   O    O  -0.2902   0.1355  -0.1600   1.0000', '   O    O   0.1308  -0.3703   0.4460   1.0000', '   O    O  -0.1431   0.3494   0.1977   1.0000', '   O    O   0.4834   0.1579   0.0966   1.0000', '   O    O  -0.2640  -0.1778   0.3588   1.0000', '   O    O  -0.0048  -0.1983   0.0869   1.0000', '   O    O   0.2361   0.1835   0.3237   1.0000', '   O    O   0.3863  -0.3705   0.2166   1.0000']",6,233,Heredity,[ 4  8 16],-647.416,209.049,4.52,-647.416,[1 1 1],1,0.214,2.626,1.959,28,-23.122000000000003
"['data_findsym-STRUC-234', '# This file was generated by FINDSYM    ', '# Harold T. Stokes, Branton J. Campbell, Dorian M. Hatch', '# Brigham Young University, Provo, Utah, USA', '                                        ', 'data_findsym-output                     ', '                                        ', ""_symmetry_space_group_name_H-M 'P 21/n 21/m 21/a'"", '_symmetry_Int_Tables_number 62          ', '                                        ', '_cell_length_a       8.00200            ', '_cell_length_b       2.68800            ', '_cell_length_c       9.34600            ', '_cell_angle_alpha   90.00000            ', '_cell_angle_beta    90.00000            ', '_cell_angle_gamma   90.00000            ', '                                        ', 'loop_                                   ', '_space_group_symop_operation_xyz        ', 'x,y,z                                   ', 'x+1/2,-y+1/2,-z+1/2                     ', '-x,y+1/2,-z                             ', '-x+1/2,-y,z+1/2                         ', '-x,-y,-z                                ', '-x+1/2,y+1/2,z+1/2                      ', 'x,-y+1/2,z                              ', 'x+1/2,y,-z+1/2                          ', '                                        ', 'loop_                                   ', '_atom_site_label                        ', '_atom_site_type_symbol                  ', '_atom_site_fract_x                      ', '_atom_site_fract_y                      ', '_atom_site_fract_z                      ', '_atom_site_occupancy                    ', '  Mg   Mg   0.2483   0.2500  -0.1448   1.0000', '  Al   Al   0.0781   0.2500   0.1135   1.0000', '  Al   Al   0.0768   0.2500  -0.3842   1.0000', '   O    O  -0.0138   0.2500  -0.2161   1.0000', '   O    O  -0.2134   0.2500   0.3287   1.0000', '   O    O   0.0809   0.2500   0.4271   1.0000', '   O    O  -0.1247   0.2500   0.0188   1.0000']",6,234,Heredity,[ 4  8 16],-655.062,201.062,4.7,-655.062,[1 1 1],62,0.14,3.199,2.64,28,-23.39507142857143
"['data_findsym-STRUC-235', '# This file was generated by FINDSYM    ', '# Harold T. Stokes, Branton J. Campbell, Dorian M. Hatch', '# Brigham Young University, Provo, Utah, USA', '                                        ', 'data_findsym-output                     ', '                                        ', ""_symmetry_space_group_name_H-M 'P 1'    "", '_symmetry_Int_Tables_number 1           ', '                                        ', '_cell_length_a       7.68800            ', '_cell_length_b       5.01300            ', '_cell_length_c       5.48300            ', '_cell_angle_alpha   98.20000            ', '_cell_angle_beta    91.78500            ', '_cell_angle_gamma   80.62700            ', '                                        ', 'loop_                                   ', '_space_group_symop_operation_xyz        ', 'x,y,z                                   ', '                                        ', 'loop_                                   ', '_atom_site_label                        ', '_atom_site_type_symbol                  ', '_atom_site_fract_x                      ', '_atom_site_fract_y                      ', '_atom_site_fract_z                      ', '_atom_site_occupancy                    ', '  Mg   Mg   0.4260  -0.3949   0.1596   1.0000', '  Mg   Mg   0.0851  -0.2329   0.3243   1.0000', '  Mg   Mg   0.0233   0.1888   0.1533   1.0000', '  Mg   Mg  -0.1034  -0.0111  -0.2547   1.0000', '  Al   Al   0.2107   0.4482  -0.1454   1.0000', '  Al   Al   0.2865  -0.0952  -0.2402   1.0000', '  Al   Al   0.3421   0.1509   0.3096   1.0000', '  Al   Al  -0.0462   0.4255  -0.4197   1.0000', '  Al   Al  -0.4335   0.2747  -0.2328   1.0000', '  Al   Al  -0.2885   0.0953   0.2703   1.0000', '  Al   Al  -0.2108  -0.4026   0.0349   1.0000', '  Al   Al  -0.4032  -0.3079  -0.4772   1.0000', '   O    O   0.1852   0.2350  -0.4407   1.0000', '   O    O   0.3824  -0.1513   0.4707   1.0000', '   O    O   0.3942   0.1613  -0.1129   1.0000', '   O    O   0.4119  -0.4110  -0.1910   1.0000', '   O    O  -0.0058   0.3527  -0.1218   1.0000', '   O    O   0.2190   0.4335   0.1783   1.0000', '   O    O   0.2216  -0.0805   0.0891   1.0000', '   O    O   0.1008  -0.2837  -0.3203   1.0000', '   O    O  -0.3311  -0.0169  -0.3771   1.0000', '   O    O  -0.4793   0.3343   0.4078   1.0000', '   O    O  -0.0915   0.1147   0.4348   1.0000', '   O    O  -0.3164   0.3129   0.0487   1.0000', '   O    O  -0.1149  -0.1191   0.0439   1.0000', '   O    O  -0.2675  -0.4821  -0.2913   1.0000', '   O    O  -0.3925  -0.1819   0.1974   1.0000', '   O    O  -0.1155  -0.4435   0.3302   1.0000']",6,235,Heredity,[ 4  8 16],-643.749,206.336,4.58,-643.749,[1 1 1],1,0.239,2.511,1.753,28,-22.991035714285715
"['data_findsym-STRUC-236', '# This file was generated by FINDSYM    ', '# Harold T. Stokes, Branton J. Campbell, Dorian M. Hatch', '# Brigham Young University, Provo, Utah, USA', '                                        ', 'data_findsym-output                     ', '                                        ', ""_symmetry_space_group_name_H-M 'P 1'    "", '_symmetry_Int_Tables_number 1           ', '                                        ', '_cell_length_a       2.63900            ', '_cell_length_b       9.32800            ', '_cell_length_c       8.65700            ', '_cell_angle_alpha  106.79000            ', '_cell_angle_beta    87.69200            ', '_cell_angle_gamma   96.12100            ', '                                        ', 'loop_                                   ', '_space_group_symop_operation_xyz        ', 'x,y,z                                   ', '                                        ', 'loop_                                   ', '_atom_site_label                        ', '_atom_site_type_symbol                  ', '_atom_site_fract_x                      ', '_atom_site_fract_y                      ', '_atom_site_fract_z                      ', '_atom_site_occupancy                    ', '  Mg   Mg  -0.3771   0.3116  -0.1976   1.0000', '  Mg   Mg   0.4785  -0.1953  -0.0341   1.0000', '  Mg   Mg  -0.1293  -0.4449   0.3831   1.0000', '  Mg   Mg   0.4883  -0.4365   0.0579   1.0000', '  Al   Al  -0.1023   0.0637  -0.1218   1.0000', '  Al   Al   0.1661   0.0461   0.2117   1.0000', '  Al   Al   0.4954   0.0398  -0.4469   1.0000', '  Al   Al  -0.0132  -0.2064   0.2903   1.0000', '  Al   Al  -0.2226   0.2934   0.4408   1.0000', '  Al   Al   0.2749  -0.4565  -0.2837   1.0000', '  Al   Al  -0.0980  -0.2110  -0.3547   1.0000', '  Al   Al   0.3293   0.3145   0.1435   1.0000', '   O    O  -0.0273  -0.1018  -0.4979   1.0000', '   O    O  -0.0198   0.1358  -0.3031   1.0000', '   O    O   0.2276   0.1588   0.4463   1.0000', '   O    O   0.1778   0.4596  -0.1331   1.0000', '   O    O   0.3581  -0.3399  -0.4316   1.0000', '   O    O  -0.1656  -0.3169  -0.2082   1.0000', '   O    O   0.4404  -0.3224   0.3041   1.0000', '   O    O   0.0254  -0.0279   0.0145   1.0000', '   O    O  -0.4203  -0.0580   0.2745   1.0000', '   O    O   0.4267   0.1931  -0.0465   1.0000', '   O    O  -0.2545   0.1848   0.2113   1.0000', '   O    O  -0.0010  -0.2733   0.0878   1.0000', '   O    O   0.3093   0.3876   0.3666   1.0000', '   O    O  -0.1233   0.4267   0.1349   1.0000', '   O    O  -0.2646   0.4155  -0.3799   1.0000', '   O    O   0.4422  -0.0766  -0.2493   1.0000']",6,236,Heredity,[ 4  8 16],-650.282,202.86,4.658,-650.282,[1 1 1],1,0.211,2.677,1.982,28,-23.224357142857144
"['data_findsym-STRUC-237', '_symmetry_space_group_name_H-M ""P 1"" ', '_symmetry_Int_Tables_number 1', '', '_cell_length_a  2.855', '_cell_length_b  4.946', '_cell_length_c 14.462', '_cell_angle_alpha 86.732', '_cell_angle_beta  95.665', '_cell_angle_gamma 90.000', '', 'loop_', '_atom_site_label', '_atom_site_type_symbol', '_atom_site_fract_x', '_atom_site_fract_y', '_atom_site_fract_z', '__atom_site_occupancy']",6,237,Heredity,[ 4  8 16],-650.381,202.915,4.657,-650.381,[1 1 1],1,0.083,4.372,3.952,28,-23.227892857142855
"['data_findsym-STRUC-238', '# This file was generated by FINDSYM    ', '# Harold T. Stokes, Branton J. Campbell, Dorian M. Hatch', '# Brigham Young University, Provo, Utah, USA', '                                        ', 'data_findsym-output                     ', '                                        ', ""_symmetry_space_group_name_H-M 'P 1'    "", '_symmetry_Int_Tables_number 1           ', '                                        ', '_cell_length_a       2.69400            ', '_cell_length_b      16.17800            ', '_cell_length_c       4.69800            ', '_cell_angle_alpha   88.95600            ', '_cell_angle_beta    88.83000            ', '_cell_angle_gamma   85.46600            ', '                                        ', 'loop_                                   ', '_space_group_symop_operation_xyz        ', 'x,y,z                                   ', '                                        ', 'loop_                                   ', '_atom_site_label                        ', '_atom_site_type_symbol                  ', '_atom_site_fract_x                      ', '_atom_site_fract_y                      ', '_atom_site_fract_z                      ', '_atom_site_occupancy                    ', '  Mg   Mg   0.0504   0.3425  -0.3842   1.0000', '  Mg   Mg  -0.4089   0.2537   0.0527   1.0000', '  Mg   Mg  -0.1029  -0.3306  -0.4694   1.0000', '  Mg   Mg  -0.2302  -0.0769   0.1146   1.0000', '  Al   Al   0.0197   0.4148   0.1221   1.0000', '  Al   Al  -0.3543   0.0853   0.0484   1.0000', '  Al   Al   0.2263   0.0130  -0.4455   1.0000', '  Al   Al   0.3590  -0.2394   0.0833   1.0000', '  Al   Al   0.4757  -0.4926  -0.4118   1.0000', '  Al   Al  -0.1733  -0.1559  -0.3740   1.0000', '  Al   Al  -0.0683  -0.4038   0.0350   1.0000', '  Al   Al   0.0896   0.1900  -0.4525   1.0000', '   O    O  -0.4365   0.2457  -0.3196   1.0000', '   O    O  -0.4818   0.4144   0.3950   1.0000', '   O    O   0.0737   0.2695   0.2821   1.0000', '   O    O  -0.3868   0.1221   0.4092   1.0000', '   O    O   0.1748   0.0194   0.1961   1.0000', '   O    O   0.1210   0.1386  -0.0957   1.0000', '   O    O  -0.4581   0.3729  -0.0714   1.0000', '   O    O   0.4091  -0.3426   0.2129   1.0000', '   O    O  -0.0325  -0.4651   0.3433   1.0000', '   O    O   0.3095  -0.1386  -0.0925   1.0000', '   O    O  -0.1276  -0.2541  -0.1676   1.0000', '   O    O   0.4255  -0.3918  -0.2366   1.0000', '   O    O  -0.2797   0.0080  -0.2451   1.0000', '   O    O  -0.0227   0.4939  -0.1487   1.0000', '   O    O  -0.1563  -0.2166   0.3264   1.0000', '   O    O   0.3016  -0.0956   0.4605   1.0000']",6,238,Heredity,[ 4  8 16],-648.289,204.037,4.631,-648.289,[1 1 1],1,0.21,2.885,2.166,28,-23.153178571428572
